'date','min_prcp','max_prcp','avg_prcp','sum_prcp','min_snow','max_snow','avg_snow','sum_snow'
'2013-09-03',0.0,0.05,0.011428571428571427937,0.08,0.0,0.0,0.0,0.0
'2013-09-04',0.0,0.05,0.011428571428571427937,0.08,0.0,0.0,0.0,0.0
'2013-09-05',0.0,0.05,0.011428571428571427937,0.08,0.0,0.0,0.0,0.0
'2013-09-06',0.0,0.03,0.0042857142857142864755,0.03,0.0,0.0,0.0,0.0
'2013-09-07',0.0,0.01,0.0014285714285714283811,0.01,0.0,0.0,0.0,0.0
'2013-09-08',0.0,0.01,0.0014285714285714283811,0.01,0.0,0.0,0.0,0.0
'2013-09-09',0.0,1.6000000000000000888,0.23000000000000002664,1.6100000000000001421,0.0,0.0,0.0,0.0
'2013-09-10',0.0,1.6000000000000000888,0.23857142857142861203,1.6700000000000001065,0.0,0.0,0.0,0.0
'2013-09-11',0.0,1.6000000000000000888,0.23857142857142861203,1.6700000000000001065,0.0,0.0,0.0,0.0
'2013-09-12',0.0,1.6000000000000000888,0.23857142857142861203,1.6700000000000001065,0.0,0.0,0.0,0.0
'2013-09-13',0.0,1.6000000000000000888,0.24285714285714288251,1.7000000000000001776,0.0,0.0,0.0,0.0
'2013-09-14',0.0,1.6000000000000000888,0.24142857142857145902,1.6900000000000002131,0.0,0.0,0.0,0.0
'2013-09-15',0.0,1.6000000000000000888,0.24142857142857145902,1.6900000000000002131,0.0,0.0,0.0,0.0
'2013-09-16',0.0,0.06,0.012857142857142855874,0.09,0.0,0.0,0.0,0.0
'2013-09-17',0.0,0.03,0.0042857142857142864755,0.03,0.0,0.0,0.0,0.0
'2013-09-18',0.0,0.71999999999999992894,0.10714285714285713968,0.75,0.0,0.0,0.0,0.0
'2013-09-19',0.0,0.71999999999999992894,0.17142857142857144125,1.1999999999999999644,0.0,0.0,0.0,0.0
'2013-09-20',0.0,0.71999999999999992894,0.16714285714285712636,1.1699999999999999289,0.0,0.0,0.0,0.0
'2013-09-21',0.0,0.71999999999999992894,0.16714285714285712636,1.1699999999999999289,0.0,0.0,0.0,0.0
'2013-09-22',0.0,0.71999999999999992894,0.16714285714285712636,1.1699999999999999289,0.0,0.0,0.0,0.0
'2013-09-23',0.0,0.71999999999999992894,0.16714285714285712636,1.1699999999999999289,0.0,0.0,0.0,0.0
'2013-09-24',0.0,0.71999999999999992894,0.16714285714285712636,1.1699999999999999289,0.0,0.0,0.0,0.0
'2013-09-25',0.0,0.45,0.064285714285714288251,0.45,0.0,0.0,0.0,0.0
'2013-09-26',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'2013-09-27',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'2013-09-28',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'2013-09-29',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'2013-09-30',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'2013-10-01',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'2013-10-02',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'2013-10-03',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'2013-10-04',0.0,0.25,0.035714285714285711748,0.25,0.0,0.0,0.0,0.0
'2013-10-05',0.0,0.25,0.035714285714285711748,0.25,0.0,0.0,0.0,0.0
