'Borough','Zone','trips','avg_dur_min','avg_dur_sec'
'Brooklyn','Prospect Park',20788,19.567779488166248569,1173.9909563209545151
'Manhattan','Lenox Hill West',369254,15.862614893812930105,951.76683258678309584
'Staten Island','New Dorp/Midland Beach',18331,17.311166875784191887,1038.7905187933008654
'Queens','Oakland Gardens',21147,17.549345060765119796,1052.8213458173736327
'Brooklyn','Bushwick North',257089,17.965342741229690659,1077.8685163503689548
'Queens','Long Island City/Queens Plaza',88236,18.958338999954666093,1137.5880592955256442
'EWR','Newark Airport',1972,33.864604462474643398,2033.5709939148074454
'Manhattan','Marble Hill',40968,14.231107205623900746,854.01379125170873152
'Brooklyn','East Flatbush/Farragut',174205,17.290244252461182128,1037.6137711317126033
'Queens','Auburndale',27380,16.395398100803508789,983.72856099342591562
'Brooklyn','Dyker Heights',53901,16.761266024749077452,1005.5474480992931951
'Manhattan','Highbridge Park',3563,15.906820095425202588,954.04097670502387984
'Queens','Forest Park/Highland Park',5044,18.013481363996827866,1080.5733544805709023
'Unknown','NV',887462,35.743389576117059469,2144.8154219560953137
'Brooklyn','Bay Ridge',177334,17.37857940383682731,1042.7238149480639872
'Queens','Breezy Point/Fort Tilden/Riis Beach',3282,29.833028641072516506,1790.0975015234612541
'Queens','East Flushing',35664,25.942659264244056771,1556.6826491700314072
'Brooklyn','Prospect-Lefferts Gardens',292193,18.513369587909362934,1110.8770915114325461
'Brooklyn','Sunset Park East',79236,18.554886667676310452,1113.3485789287698164
'Bronx','Woodlawn/Wakefield',112116,15.573370437760891249,934.62307788362064542
'Bronx','East Concourse/Concourse Village',204852,16.04862534903247262,963.22781325054194212
'Brooklyn','Erasmus',122428,17.887754435259908269,1073.2235844741397912
'Brooklyn','Crown Heights North',536107,17.799528825402390452,1067.9999776164086355
'Queens','Astoria',334413,16.488856593493674829,989.53108581305144753
'Brooklyn','Crown Heights South',138845,18.269156253376067411,1096.2671396161185555
'Queens','JFK Airport',518933,37.105730412211208602,2226.3884990933320295
'Queens','LaGuardia Airport',446096,29.985379828557082504,1799.1131998493596455
'Queens','Corona',121113,15.854672908771147987,951.44105917614130163
'Bronx','Soundview/Castle Hill',202161,15.448365411726296514,926.98772760324690267
'Manhattan','Lincoln Square East',371643,16.545846417126113259,992.71478811655278207
'Brooklyn','DUMBO/Vinegar Hill',109229,18.752629796116416116,1125.1105292550511727
'Brooklyn','Cypress Hills',121774,17.012293264572075912,1020.9995894033208063
'Brooklyn','Fort Greene',227473,18.500349492027623909,1109.9873875141224033
'Brooklyn','Williamsburg (North Side)',287947,19.475646559957215941,1168.6452020684361396
'Manhattan','Upper East Side South',510543,14.604932395508312126,876.30907680645897528
'Queens','Maspeth',86141,15.851534112675729204,951.13607921895493291
'Brooklyn','Bensonhurst West',115360,16.471567267683773216,988.35547850208040898
'Bronx','Van Cortlandt Village',147042,15.519783463228193909,931.22843813332245588
'Manhattan','Inwood Hill Park',8947,17.002682463395551337,1020.1949256734101911
'Manhattan','Central Harlem',277418,16.95169022918484103,1017.1674188408827976
'Manhattan','Yorkville West',311599,16.059605454446259642,963.64263685056759101
'Manhattan','Union Sq',463665,17.049660854280568322,1022.9532205363784935
'Queens','Queensbridge/Ravenswood',54857,18.345972255136082651,1100.7863718395098917
'Manhattan','Randalls Island',4668,22.017994858611826813,1321.1608826049701104
'Queens','Hollis',41159,17.056318180713816445,1023.3186423382492069
'Queens','Kew Gardens Hills',55931,17.538055818776707717,1052.2956857556633458
'Brooklyn','Greenpoint',245113,18.081933638770689043,1084.9406885803689704
'Bronx','Co-Op City',133845,16.749396690201350246,1004.8849415368523718
'Brooklyn','Canarsie',295959,16.356255427272021307,981.34844015556215168
'Bronx','Country Club',10361,15.975581507576488426,958.85387510858031134
'Manhattan','Lower East Side',331811,17.509844459647208481,1050.6088827675996721
'Manhattan','Bloomingdale',73275,17.322674854998294513,1039.3848788809278982
